".model",".strategy_names","markov_cycle","state_names","count"
"standard","new",20,"Death",399.733691667567
"standard","new",21,"Death",431.859612411009
"standard","new",22,"Death",462.266650363935
"standard","new",23,"Death",491.046749512263
"standard","new",24,"Death",518.286937043959
"standard","new",25,"Death",544.069586175031
"standard","new",26,"Death",614.65841586092
"standard","new",27,"Death",674.319887416202
"standard","new",28,"Death",724.744419384626
"standard","new",29,"Death",767.362090526064
"standard","new",30,"Death",803.381534982832
"standard","new",31,"Death",833.824278144275
"standard","new",32,"Death",859.553700159155
"standard","new",33,"Death",881.299518089008
"standard","new",34,"Death",899.678478078956
"standard","new",35,"Death",915.211844315702
"standard","new",36,"Death",928.340180620847
"standard","new",37,"Death",939.435843777428
"standard","new",38,"Death",948.81354281358
"standard","new",39,"Death",956.7392636351
"standard","new",40,"Death",963.437812054043
"standard","new",41,"Death",969.099189089582
"standard","new",42,"Death",973.883979309746
"standard","new",43,"Death",977.927904999922
"standard","new",44,"Death",981.345675292812
"standard","new",45,"Death",984.234239404369
"standard","new",46,"Death",986.675536224558
"standard","new",47,"Death",988.738818231408
"standard","new",48,"Death",990.482615627065
"standard","new",49,"Death",991.956396393167
"standard","new",50,"Death",993.201969340608
"new","standard",1,"PrimaryTHR",1000
"new","standard",2,"PrimaryTHR",0
"new","standard",3,"PrimaryTHR",0
"new","standard",4,"PrimaryTHR",0
"new","standard",5,"PrimaryTHR",0
"new","standard",6,"PrimaryTHR",0
"new","standard",7,"PrimaryTHR",0
"new","standard",8,"PrimaryTHR",0
"new","standard",9,"PrimaryTHR",0
"new","standard",10,"PrimaryTHR",0
"new","standard",11,"PrimaryTHR",0
"new","standard",12,"PrimaryTHR",0
"new","standard",13,"PrimaryTHR",0
"new","standard",14,"PrimaryTHR",0
"new","standard",15,"PrimaryTHR",0
"new","standard",16,"PrimaryTHR",0
"new","standard",17,"PrimaryTHR",0
"new","standard",18,"PrimaryTHR",0
"new","standard",19,"PrimaryTHR",0
"new","standard",20,"PrimaryTHR",0
"new","standard",21,"PrimaryTHR",0
"new","standard",22,"PrimaryTHR",0
"new","standard",23,"PrimaryTHR",0
"new","standard",24,"PrimaryTHR",0
"new","standard",25,"PrimaryTHR",0
"new","standard",26,"PrimaryTHR",0
"new","standard",27,"PrimaryTHR",0
"new","standard",28,"PrimaryTHR",0
"new","standard",29,"PrimaryTHR",0
"new","standard",30,"PrimaryTHR",0
"new","standard",31,"PrimaryTHR",0
"new","standard",32,"PrimaryTHR",0
"new","standard",33,"PrimaryTHR",0
"new","standard",34,"PrimaryTHR",0
"new","standard",35,"PrimaryTHR",0
"new","standard",36,"PrimaryTHR",0
"new","standard",37,"PrimaryTHR",0
"new","standard",38,"PrimaryTHR",0
"new","standard",39,"PrimaryTHR",0
"new","standard",40,"PrimaryTHR",0
"new","standard",41,"PrimaryTHR",0
"new","standard",42,"PrimaryTHR",0
"new","standard",43,"PrimaryTHR",0
"new","standard",44,"PrimaryTHR",0
"new","standard",45,"PrimaryTHR",0
"new","standard",46,"PrimaryTHR",0
"new","standard",47,"PrimaryTHR",0
"new","standard",48,"PrimaryTHR",0
"new","standard",49,"PrimaryTHR",0
"new","standard",50,"PrimaryTHR",0
"new","new",1,"PrimaryTHR",1000
"new","new",2,"PrimaryTHR",0
"new","new",3,"PrimaryTHR",0
"new","new",4,"PrimaryTHR",0
"new","new",5,"PrimaryTHR",0
"new","new",6,"PrimaryTHR",0
"new","new",7,"PrimaryTHR",0
"new","new",8,"PrimaryTHR",0
"new","new",9,"PrimaryTHR",0
"new","new",10,"PrimaryTHR",0
"new","new",11,"PrimaryTHR",0
"new","new",12,"PrimaryTHR",0
"new","new",13,"PrimaryTHR",0
"new","new",14,"PrimaryTHR",0
"new","new",15,"PrimaryTHR",0
"new","new",16,"PrimaryTHR",0
"new","new",17,"PrimaryTHR",0
"new","new",18,"PrimaryTHR",0
"new","new",19,"PrimaryTHR",0
"new","new",20,"PrimaryTHR",0
"new","new",21,"PrimaryTHR",0
"new","new",22,"PrimaryTHR",0
"new","new",23,"PrimaryTHR",0
"new","new",24,"PrimaryTHR",0
"new","new",25,"PrimaryTHR",0
"new","new",26,"PrimaryTHR",0
"new","new",27,"PrimaryTHR",0
"new","new",28,"PrimaryTHR",0
"new","new",29,"PrimaryTHR",0
"new","new",30,"PrimaryTHR",0
"new","new",31,"PrimaryTHR",0
"new","new",32,"PrimaryTHR",0
"new","new",33,"PrimaryTHR",0
"new","new",34,"PrimaryTHR",0
"new","new",35,"PrimaryTHR",0
"new","new",36,"PrimaryTHR",0
"new","new",37,"PrimaryTHR",0
"new","new",38,"PrimaryTHR",0
"new","new",39,"PrimaryTHR",0
"new","new",40,"PrimaryTHR",0
"new","new",41,"PrimaryTHR",0
"new","new",42,"PrimaryTHR",0
"new","new",43,"PrimaryTHR",0
"new","new",44,"PrimaryTHR",0
"new","new",45,"PrimaryTHR",0
"new","new",46,"PrimaryTHR",0
